,disp,lat,lon,net,sta,disp_pc
2020-03-21 12:00:00,1.70144480429e-10,50.186699,-5.227299,GB,CCA1,-16.4480714537
2020-03-22 12:00:00,7.1169328868e-11,50.186699,-5.227299,GB,CCA1,51.2912139586
2020-03-23 12:00:00,1.30076140741e-10,50.186699,-5.227299,GB,CCA1,10.974980245
2020-03-24 12:00:00,1.13714950206e-10,50.186699,-5.227299,GB,CCA1,22.1726933862
2020-03-25 12:00:00,1.23975349334e-10,50.186699,-5.227299,GB,CCA1,15.1504045188
2020-03-26 12:00:00,1.1701007003e-10,50.186699,-5.227299,GB,CCA1,19.9174903514
2020-03-27 12:00:00,1.02550413366e-10,50.186699,-5.227299,GB,CCA1,29.8137804226
2020-03-28 12:00:00,1.01401625512e-10,50.186699,-5.227299,GB,CCA1,30.6000188581
2020-03-29 12:00:00,8.17897299562e-11,50.186699,-5.227299,GB,CCA1,44.0225372336
2020-03-30 12:00:00,1.17898485089e-10,50.186699,-5.227299,GB,CCA1,19.309452876
2020-03-31 12:00:00,1.05657819753e-10,50.186699,-5.227299,GB,CCA1,27.6870497753
2020-04-01 12:00:00,9.93514366605e-11,50.186699,-5.227299,GB,CCA1,32.0031824359
2020-04-02 12:00:00,1.01184028624e-10,50.186699,-5.227299,GB,CCA1,30.7489436893
2020-04-03 12:00:00,9.59025965005e-11,50.186699,-5.227299,GB,CCA1,34.3635927435
2020-04-04 12:00:00,9.73734061339e-11,50.186699,-5.227299,GB,CCA1,33.3569603517
2020-04-05 12:00:00,9.06096405694e-11,50.186699,-5.227299,GB,CCA1,37.9861287723
2020-04-06 12:00:00,1.00665309479e-10,50.186699,-5.227299,GB,CCA1,31.103958697
2020-04-07 12:00:00,1.00075631813e-10,50.186699,-5.227299,GB,CCA1,31.5075382123
2020-04-08 12:00:00,1.11305124532e-10,50.186699,-5.227299,GB,CCA1,23.821994919
2020-04-09 12:00:00,1.1872974521e-10,50.186699,-5.227299,GB,CCA1,18.7405326402
2020-04-10 12:00:00,8.10648773378e-11,50.186699,-5.227299,GB,CCA1,44.5186314313
2020-04-11 12:00:00,6.97103571825e-11,50.186699,-5.227299,GB,CCA1,52.2897443761
2020-04-12 12:00:00,5.4649939736e-11,50.186699,-5.227299,GB,CCA1,62.5971993257
2020-04-13 12:00:00,9.61727561295e-11,50.186699,-5.227299,GB,CCA1,34.1786936054
2020-04-14 12:00:00,1.07666364775e-10,50.186699,-5.227299,GB,CCA1,26.3123875258
2020-04-15 12:00:00,1.16547368076e-10,50.186699,-5.227299,GB,CCA1,20.2341668022
2020-04-16 12:00:00,1.0102815647e-10,50.186699,-5.227299,GB,CCA1,30.8556236805
2020-04-17 12:00:00,8.42840160115e-11,50.186699,-5.227299,GB,CCA1,42.3154304262
2020-04-18 12:00:00,7.09198245648e-11,50.186699,-5.227299,GB,CCA1,51.4619764474
2020-04-19 12:00:00,6.93922318738e-11,50.186699,-5.227299,GB,CCA1,52.5074715606
2020-04-20 12:00:00,9.93381979359e-11,50.186699,-5.227299,GB,CCA1,32.0122431115
2020-04-21 12:00:00,1.04142620432e-10,50.186699,-5.227299,GB,CCA1,28.7240627795
2020-04-22 12:00:00,1.3066740096e-10,50.186699,-5.227299,GB,CCA1,10.5703176192
2020-04-23 12:00:00,1.22389894613e-10,50.186699,-5.227299,GB,CCA1,16.2355008096
2020-04-24 12:00:00,9.72350758732e-11,50.186699,-5.227299,GB,CCA1,33.4516345488
2020-04-25 12:00:00,7.33819545103e-11,50.186699,-5.227299,GB,CCA1,49.7768775062
2020-04-26 12:00:00,6.22869018913e-11,50.186699,-5.227299,GB,CCA1,57.370409056
2020-04-27 12:00:00,1.02272801515e-10,50.186699,-5.227299,GB,CCA1,30.0037799139
2020-01-01 12:00:00,1.49061002898e-10,55.082802,-6.110599,GB,CLGH,23.8572202476
2020-01-02 12:00:00,3.04390848957e-10,55.082802,-6.110599,GB,CLGH,-55.4877863429
2020-01-03 12:00:00,2.16832223049e-10,55.082802,-6.110599,GB,CLGH,-10.7614190286
2020-01-04 12:00:00,2.06172956328e-10,55.082802,-6.110599,GB,CLGH,-5.31649257208
2020-01-05 12:00:00,2.64872213451e-10,55.082802,-6.110599,GB,CLGH,-35.3010258832
2020-01-06 12:00:00,2.92553044354e-10,55.082802,-6.110599,GB,CLGH,-49.4408436076
2020-01-07 12:00:00,2.58735496504e-10,55.082802,-6.110599,GB,CLGH,-32.1662912586
2020-01-08 12:00:00,2.09596292642e-10,55.082802,-6.110599,GB,CLGH,-7.06518832731
2020-01-09 12:00:00,1.00461306031e-10,55.082802,-6.110599,GB,CLGH,48.6827342495
2020-01-10 12:00:00,3.23228885242e-10,55.082802,-6.110599,GB,CLGH,-65.1105610453
2020-01-11 12:00:00,2.10800200693e-10,55.082802,-6.110599,GB,CLGH,-7.68016410072
2020-01-12 12:00:00,2.13225693341e-10,55.082802,-6.110599,GB,CLGH,-8.91914511457
2020-01-13 12:00:00,2.40792737239e-10,55.082802,-6.110599,GB,CLGH,-23.00083859
2020-01-14 12:00:00,2.23480520388e-10,55.082802,-6.110599,GB,CLGH,-14.1574772203
2020-01-15 12:00:00,3.00649822057e-10,55.082802,-6.110599,GB,CLGH,-53.5768090803
2020-01-16 12:00:00,2.8506464602e-10,55.082802,-6.110599,GB,CLGH,-45.615648191
2020-01-17 12:00:00,2.03928176066e-10,55.082802,-6.110599,GB,CLGH,-4.16982237843
2020-01-18 12:00:00,1.56783775823e-10,55.082802,-6.110599,GB,CLGH,19.912302486
2020-01-19 12:00:00,2.86730877895e-10,55.082802,-6.110599,GB,CLGH,-46.4667864782
2020-01-20 12:00:00,1.12039957373e-10,55.082802,-6.110599,GB,CLGH,42.7681712063
2020-01-21 12:00:00,1.82021832459e-10,55.082802,-6.110599,GB,CLGH,7.02029350713
2020-01-22 12:00:00,9.97918328987e-11,55.082802,-6.110599,GB,CLGH,49.0247119922
2020-01-23 12:00:00,1.47732435411e-10,55.082802,-6.110599,GB,CLGH,24.5358740848
2020-01-24 12:00:00,1.96574883644e-10,55.082802,-6.110599,GB,CLGH,-0.41364125497
2020-01-25 12:00:00,1.83998281893e-10,55.082802,-6.110599,GB,CLGH,6.01069105572
2020-01-26 12:00:00,1.72945718864e-10,55.082802,-6.110599,GB,CLGH,11.6565196497
2020-01-27 12:00:00,2.22731557437e-10,55.082802,-6.110599,GB,CLGH,-13.7748947886
2020-01-28 12:00:00,2.60169468079e-10,55.082802,-6.110599,GB,CLGH,-32.8987872149
2020-01-29 12:00:00,3.11189984624e-10,55.082802,-6.110599,GB,CLGH,-58.9608952014
2020-01-30 12:00:00,3.59676564412e-10,55.082802,-6.110599,GB,CLGH,-83.7286271632
2020-01-31 12:00:00,2.61438439265e-10,55.082802,-6.110599,GB,CLGH,-33.5469982937
2020-02-01 12:00:00,2.34317206195e-10,55.082802,-6.110599,GB,CLGH,-19.6930322252
2020-02-02 12:00:00,1.86507656058e-10,55.082802,-6.110599,GB,CLGH,4.72886200156
2020-02-03 12:00:00,2.78718305176e-10,55.082802,-6.110599,GB,CLGH,-42.3738342779
2020-02-04 12:00:00,1.22294883416e-10,55.082802,-6.110599,GB,CLGH,37.5297885314
2020-02-05 12:00:00,1.45375972938e-10,55.082802,-6.110599,GB,CLGH,25.7395933648
2020-02-06 12:00:00,8.0803635429e-11,55.082802,-6.110599,GB,CLGH,58.7241914651
2020-02-07 12:00:00,2.21017216218e-10,55.082802,-6.110599,GB,CLGH,-12.8991814673
2020-02-08 12:00:00,3.50561386946e-10,55.082802,-6.110599,GB,CLGH,-79.0724465614
2020-02-09 12:00:00,2.84781216883e-10,55.082802,-6.110599,GB,CLGH,-45.4708679876
2020-02-10 12:00:00,2.944301323e-10,55.082802,-6.110599,GB,CLGH,-50.3996905982
2020-02-11 12:00:00,3.16651890664e-10,55.082802,-6.110599,GB,CLGH,-61.7509254613
2020-02-12 12:00:00,2.14203713073e-10,55.082802,-6.110599,GB,CLGH,-9.41873346808
2020-02-13 12:00:00,1.58740285245e-10,55.082802,-6.110599,GB,CLGH,18.9128857163
2020-02-14 12:00:00,2.56197147594e-10,55.082802,-6.110599,GB,CLGH,-30.8696614348
2020-02-15 12:00:00,2.95584109556e-10,55.082802,-6.110599,GB,CLGH,-50.989160911
